t,sector,dataType,value
0,13,minPrice,0.27128676
0,13,price,NA
0,13,productionValue,873269.3
0,13,productionVolume,9053.435
0,13,productDestruction,NA
0,13,sectorSize,482.0
0,13,speed,NA
0,13,unsoldVolume,305.16095
0,13,unsoldVolumePositif,32.0
0,14,consumptionBudget,833787.44
0,14,consumptionValue,36005.29
0,14,consumptionVolume,364.44873
0,14,laborUsed,475.00003
0,14,maxPrice,203.61621
0,14,minPrice,0.020548489
0,14,price,NA
0,14,productionValue,36005.285
0,14,productionVolume,364.44858
0,14,productDestruction,NA
0,14,sectorSize,475.0
0,14,speed,NA
0,14,unsoldVolume,0.0
0,14,unsoldVolumePositif,0.0
0,15,consumptionBudget,1285430.0
0,15,consumptionValue,45194.902
0,15,consumptionVolume,455.51132
0,15,laborUsed,548.9999
0,15,maxPrice,202.91194
0,15,minPrice,0.10433028
0,15,price,NA
0,15,productionValue,45194.906
0,15,productionVolume,455.51114
0,15,productDestruction,NA
0,15,sectorSize,549.0
0,15,speed,NA
0,15,unsoldVolume,0.0
0,15,unsoldVolumePositif,0.0
0,16,consumptionBudget,1114731.2
0,16,consumptionValue,307215.34
0,16,consumptionVolume,3164.416
0,16,laborUsed,502.0
0,16,maxPrice,203.26059
0,16,minPrice,0.0063824854
0,16,price,NA
0,16,productionValue,307215.25
0,16,productionVolume,3164.418
0,16,productDestruction,NA
0,16,sectorSize,502.0
0,16,speed,NA
0,16,unsoldVolume,0.0
0,16,unsoldVolumePositif,0.0
0,17,consumptionBudget,1372590.0
0,17,consumptionValue,1276515.6
0,17,consumptionVolume,16546.697
0,17,laborUsed,381.70554
0,17,maxPrice,199.91805
0,17,minPrice,0.24082206
0,17,price,NA
0,17,productionValue,2402479.5
0,17,productionVolume,23790.975
0,17,productDestruction,NA
0,17,sectorSize,505.0
0,17,speed,NA
0,17,unsoldVolume,7244.306
0,17,unsoldVolumePositif,202.0
0,18,consumptionBudget,628789.0
0,18,consumptionValue,140801.23
0,18,consumptionVolume,1442.8824
0,18,laborUsed,501.9995
0,18,maxPrice,203.5167
0,18,minPrice,0.16471481
0,18,price,NA
0,18,productionValue,140801.2
0,18,productionVolume,1442.8816
0,18,productDestruction,NA
0,18,sectorSize,502.0
0,18,speed,NA
0,18,unsoldVolume,0.0
0,18,unsoldVolumePositif,0.0
0,19,consumptionBudget,247742.27
0,19,consumptionValue,245365.75
0,19,consumptionVolume,6785.274
0,19,laborUsed,198.91159
0,19,maxPrice,195.87965
0,19,minPrice,0.68636626
0,19,price,NA
0,19,productionValue,2221674.5
0,19,productionVolume,21963.371
0,19,productDestruction,NA
0,19,sectorSize,544.0
0,19,speed,NA
0,19,unsoldVolume,15178.08
0,19,unsoldVolumePositif,408.0
1,0,consumptionBudget,1379263.9
1,0,consumptionValue,592476.6
1,0,consumptionVolume,5767.8945
1,0,laborUsed,423.78848
1,0,maxPrice,212.14806
1,0,minPrice,0.40402153
1,0,price,NA
1,0,productionValue,589121.1
1,0,productionVolume,5750.2783
1,0,productDestruction,0.0
1,0,sectorSize,423.0
1,0,speed,NA
1,0,unsoldVolume,28.432169
1,0,unsoldVolumePositif,4.0
1,1,consumptionBudget,1316191.2
1,1,consumptionValue,427811.66
1,1,consumptionVolume,4096.021
1,1,laborUsed,498.87012
1,1,maxPrice,212.28886
1,1,minPrice,0.559645
1,1,price,NA
