t,sector,dataType,value
0,14,laborUsed,NA
0,14,maxPrice,NA
0,14,minPrice,NA
0,14,price,100.0
0,14,productionValue,0.0
0,14,productionVolume,0.0
0,14,productDestruction,NA
0,14,sectorSize,0.0
0,14,speed,0.0
0,14,unsoldVolume,NA
0,14,unsoldVolumePositif,NA
0,15,consumptionBudget,3946707.8
0,15,consumptionValue,NA
0,15,consumptionVolume,NA
0,15,laborUsed,NA
0,15,maxPrice,NA
0,15,minPrice,NA
0,15,price,100.0
0,15,productionValue,0.0
0,15,productionVolume,0.0
0,15,productDestruction,NA
0,15,sectorSize,0.0
0,15,speed,0.0
0,15,unsoldVolume,NA
0,15,unsoldVolumePositif,NA
0,16,consumptionBudget,3524996.2
0,16,consumptionValue,NA
0,16,consumptionVolume,NA
0,16,laborUsed,NA
0,16,maxPrice,NA
0,16,minPrice,NA
0,16,price,100.0
0,16,productionValue,0.0
0,16,productionVolume,0.0
0,16,productDestruction,NA
0,16,sectorSize,0.0
0,16,speed,0.0
0,16,unsoldVolume,NA
0,16,unsoldVolumePositif,NA
0,17,consumptionBudget,4393779.5
0,17,consumptionValue,NA
0,17,consumptionVolume,NA
0,17,laborUsed,NA
0,17,maxPrice,NA
0,17,minPrice,NA
0,17,price,100.0
0,17,productionValue,2.0253066E7
0,17,productionVolume,202530.61
0,17,productDestruction,NA
0,17,sectorSize,2581.0
0,17,speed,0.0
0,17,unsoldVolume,NA
0,17,unsoldVolumePositif,NA
0,18,consumptionBudget,1961205.1
0,18,consumptionValue,NA
0,18,consumptionVolume,NA
0,18,laborUsed,NA
0,18,maxPrice,NA
0,18,minPrice,NA
0,18,price,100.0
0,18,productionValue,0.0
0,18,productionVolume,0.0
0,18,productDestruction,NA
0,18,sectorSize,0.0
0,18,speed,0.0
0,18,unsoldVolume,NA
0,18,unsoldVolumePositif,NA
0,19,consumptionBudget,783058.44
0,19,consumptionValue,NA
0,19,consumptionVolume,NA
0,19,laborUsed,NA
0,19,maxPrice,NA
0,19,minPrice,NA
0,19,price,100.0
0,19,productionValue,1.0830744E7
0,19,productionVolume,108307.41
0,19,productDestruction,NA
0,19,sectorSize,1570.0
0,19,speed,0.0
0,19,unsoldVolume,NA
0,19,unsoldVolumePositif,NA
1,0,consumptionBudget,3967372.2
1,0,consumptionValue,NA
1,0,consumptionVolume,NA
1,0,laborUsed,NA
1,0,maxPrice,NA
1,0,minPrice,NA
1,0,price,103.3
1,0,productionValue,0.0
1,0,productionVolume,0.0
1,0,productDestruction,NA
1,0,sectorSize,0.0
1,0,speed,0.033000004
1,0,unsoldVolume,NA
1,0,unsoldVolumePositif,NA
1,1,consumptionBudget,3646491.2
1,1,consumptionValue,NA
1,1,consumptionVolume,NA
1,1,laborUsed,NA
1,1,maxPrice,NA
1,1,minPrice,NA
1,1,price,103.3
1,1,productionValue,0.0
1,1,productionVolume,0.0
1,1,productDestruction,NA
1,1,sectorSize,0.0
1,1,speed,0.033000004
1,1,unsoldVolume,NA
1,1,unsoldVolumePositif,NA
1,2,consumptionBudget,4242216.0
1,2,consumptionValue,NA
1,2,consumptionVolume,NA
1,2,laborUsed,NA
1,2,maxPrice,NA
1,2,minPrice,NA
1,2,price,96.7
1,2,productionValue,6658986.5
1,2,productionVolume,68862.4
1,2,productDestruction,NA
1,2,sectorSize,1063.0
1,2,speed,-0.033000004
1,2,unsoldVolume,NA
1,2,unsoldVolumePositif,NA
1,3,consumptionBudget,3466538.8
1,3,consumptionValue,NA
1,3,consumptionVolume,NA
1,3,laborUsed,NA
1,3,maxPrice,NA
1,3,minPrice,NA
1,3,price,103.3
1,3,productionValue,101492.305
1,3,productionVolume,982.5003
1,3,productDestruction,NA
1,3,sectorSize,28.0
1,3,speed,0.033000004
1,3,unsoldVolume,NA
1,3,unsoldVolumePositif,NA
1,4,consumptionBudget,4259167.0
1,4,consumptionValue,NA
1,4,consumptionVolume,NA
1,4,laborUsed,NA
1,4,maxPrice,NA
1,4,minPrice,NA
1,4,price,103.3
1,4,productionValue,38488.496
1,4,productionVolume,372.58948
1,4,productDestruction,NA
1,4,sectorSize,11.0
1,4,speed,0.033000004
