t,sector,dataType,value
0,0,consumptionBudget,6.243036E7
0,0,consumptionValue,2.3198398E7
0,0,consumptionVolume,262172.7
0,0,laborUsed,20852.668
0,0,maxPrice,204.00337
0,0,minPrice,0.005090421
0,0,price,NA
0,0,productionValue,3.3452864E7
0,0,productionVolume,335264.16
0,0,productDestruction,NA
0,0,sectorSize,25088.0
0,0,speed,NA
0,0,unsoldVolume,73088.57
0,0,unsoldVolumePositif,7624.0
0,1,consumptionBudget,6.034588E7
0,1,consumptionValue,1.7011518E7
0,1,consumptionVolume,182693.92
0,1,laborUsed,22408.012
0,1,maxPrice,204.0236
0,1,minPrice,0.009822801
0,1,price,NA
0,1,productionValue,2.0900948E7
0,1,productionVolume,210427.89
0,1,productDestruction,NA
0,1,sectorSize,24905.0
0,1,speed,NA
0,1,unsoldVolume,27734.09
0,1,unsoldVolumePositif,4836.0
0,2,consumptionBudget,6.6446092E7
0,2,consumptionValue,3.641518E7
0,2,consumptionVolume,504531.78
0,2,laborUsed,15280.919
0,2,maxPrice,203.95964
0,2,minPrice,0.005510731
0,2,price,NA
0,2,productionValue,9.467931E7
0,2,productionVolume,947067.94
0,2,productDestruction,NA
0,2,sectorSize,24814.0
0,2,speed,NA
0,2,unsoldVolume,442535.4
0,2,unsoldVolumePositif,14387.0
0,3,consumptionBudget,5.5843276E7
0,3,consumptionValue,2.6403796E7
0,3,consumptionVolume,325446.53
0,3,laborUsed,18253.453
0,3,maxPrice,203.9763
0,3,minPrice,0.0063513513
0,3,price,NA
0,3,productionValue,4.936047E7
0,3,productionVolume,494842.62
0,3,productDestruction,NA
0,3,sectorSize,25116.0
0,3,speed,NA
0,3,unsoldVolume,169391.88
0,3,unsoldVolumePositif,11376.0
0,4,consumptionBudget,6.864996E7
0,4,consumptionValue,2.8609572E7
0,4,consumptionVolume,329668.7
0,4,laborUsed,19757.812
0,4,maxPrice,203.95161
0,4,minPrice,0.0018369104
0,4,price,NA
0,4,productionValue,4.5223104E7
0,4,productionVolume,449685.25
0,4,productDestruction,NA
0,4,sectorSize,24937.0
0,4,speed,NA
0,4,unsoldVolume,120012.97
0,4,unsoldVolumePositif,9044.0
0,5,consumptionBudget,3.317864E7
0,5,consumptionValue,2.0306622E7
0,5,consumptionVolume,331430.5
0,5,laborUsed,11742.552
0,5,maxPrice,204.00719
0,5,minPrice,2.8020667E-4
0,5,price,NA
0,5,productionValue,8.706677E7
0,5,productionVolume,872085.56
0,5,productDestruction,NA
0,5,sectorSize,25078.0
0,5,speed,NA
0,5,unsoldVolume,540650.3
0,5,unsoldVolumePositif,18017.0
0,6,consumptionBudget,7.24096E7
0,6,consumptionValue,3.2732462E7
0,6,consumptionVolume,392032.94
0,6,laborUsed,18936.74
0,6,maxPrice,203.98912
0,6,minPrice,0.025094064
0,6,price,NA
0,6,productionValue,5.693747E7
0,6,productionVolume,567599.4
0,6,productDestruction,NA
0,6,sectorSize,25069.0
0,6,speed,NA
0,6,unsoldVolume,175562.11
0,6,unsoldVolumePositif,10365.0
0,7,consumptionBudget,7.093032E7
0,7,consumptionValue,3.955619E7
0,7,consumptionVolume,558991.75
0,7,laborUsed,14876.071
0,7,maxPrice,204.00925
0,7,minPrice,0.0038606252
0,7,price,NA
0,7,productionValue,1.1033108E8
0,7,productionVolume,1100946.2
0,7,productDestruction,NA
0,7,sectorSize,24973.0
0,7,speed,NA
0,7,unsoldVolume,541948.06
0,7,unsoldVolumePositif,14966.0
0,8,consumptionBudget,4.5096332E7
0,8,consumptionValue,2.2830444E7
0,8,consumptionVolume,296846.28
0,8,laborUsed,16738.96
0,8,maxPrice,204.02167
0,8,minPrice,0.0060400106
0,8,price,NA
0,8,productionValue,5.0004332E7
0,8,productionVolume,500572.6
0,8,productDestruction,NA
0,8,sectorSize,24887.0
0,8,speed,NA
0,8,unsoldVolume,203724.03
0,8,unsoldVolumePositif,12778.0
0,9,consumptionBudget,7.6464984E7
0,9,consumptionValue,2.2275506E7
0,9,consumptionVolume,237582.67
0,9,laborUsed,22577.93
0,9,maxPrice,203.99547
0,9,minPrice,0.0049503176
0,9,price,NA
0,9,productionValue,2.7701406E7
0,9,productionVolume,275621.06
0,9,productDestruction,NA
0,9,sectorSize,25233.0
0,9,speed,NA
0,9,unsoldVolume,38037.31
0,9,unsoldVolumePositif,5018.0
0,10,consumptionBudget,1.3396888E7
0,10,consumptionValue,8900378.0
0,10,consumptionVolume,183349.6
0,10,laborUsed,7453.0713
0,10,maxPrice,203.8703
0,10,minPrice,5.1371224E-4
0,10,price,NA
0,10,productionValue,8.3874936E7
0,10,productionVolume,839478.7
0,10,productDestruction,NA
0,10,sectorSize,25041.0
0,10,speed,NA
0,10,unsoldVolume,656124.0
0,10,unsoldVolumePositif,21332.0
0,11,consumptionBudget,4.2567148E7
0,11,consumptionValue,2.5248468E7
0,11,consumptionVolume,387693.25
0,11,laborUsed,12665.906
0,11,maxPrice,203.95512
0,11,minPrice,4.2031E-4
0,11,price,NA
0,11,productionValue,9.319503E7
0,11,productionVolume,929545.6
0,11,productDestruction,NA
0,11,sectorSize,24820.0
0,11,speed,NA
0,11,unsoldVolume,541849.7
0,11,unsoldVolumePositif,16903.0
0,12,consumptionBudget,6.805031E7
0,12,consumptionValue,3.475849E7
0,12,consumptionVolume,457073.0
0,12,laborUsed,16888.49
0,12,maxPrice,203.97867
0,12,minPrice,9.3402225E-5
0,12,price,NA
0,12,productionValue,7.691788E7
0,12,productionVolume,773626.25
0,12,productDestruction,NA
0,12,sectorSize,25192.0
0,12,speed,NA
0,12,unsoldVolume,316549.38
0,12,unsoldVolumePositif,13028.0
0,13,consumptionBudget,6.282497E7
0,13,consumptionValue,2.8019896E7
0,13,consumptionVolume,338447.78
0,13,laborUsed,18994.246
0,13,maxPrice,204.0154
0,13,minPrice,0.002537427
0,13,price,NA
0,13,productionValue,4.8699864E7
0,13,productionVolume,488448.3
0,13,productDestruction,NA
0,13,sectorSize,25070.0
0,13,speed,NA
0,13,unsoldVolume,149995.33
0,13,unsoldVolumePositif,10290.0
0,14,consumptionBudget,4.1902524E7
0,14,consumptionValue,1872124.9
0,14,consumptionVolume,18733.291
0,14,laborUsed,24592.918
0,14,maxPrice,204.02856
0,14,minPrice,0.0057753706
0,14,price,NA
0,14,productionValue,1903307.2
0,14,productionVolume,18972.973
0,14,productDestruction,NA
0,14,sectorSize,24846.0
0,14,speed,NA
0,14,unsoldVolume,239.64326
0,14,unsoldVolumePositif,429.0
0,15,consumptionBudget,6.35001E7
0,15,consumptionValue,2132860.8
0,15,consumptionVolume,21300.734
0,15,laborUsed,24718.586
0,15,maxPrice,204.03348
0,15,minPrice,0.0097605325
0,15,price,NA
0,15,productionValue,2156840.0
0,15,productionVolume,21489.336
0,15,productDestruction,NA
0,15,sectorSize,24909.0
0,15,speed,NA
0,15,unsoldVolume,188.56918
0,15,unsoldVolumePositif,318.0
0,16,consumptionBudget,5.5567904E7
0,16,consumptionValue,1.2991063E7
0,16,consumptionVolume,135914.95
0,16,laborUsed,23182.215
0,16,maxPrice,204.03918
0,16,minPrice,0.02358406
0,16,price,NA
0,16,productionValue,1.5120373E7
0,16,productionVolume,150944.5
0,16,productDestruction,NA
0,16,sectorSize,25092.0
0,16,speed,NA
0,16,unsoldVolume,15029.93
0,16,unsoldVolumePositif,3708.0
0,17,consumptionBudget,6.951206E7
0,17,consumptionValue,3.9527424E7
0,17,consumptionVolume,579303.5
0,17,laborUsed,14123.553
0,17,maxPrice,203.824
0,17,minPrice,0.014617448
0,17,price,NA
0,17,productionValue,1.19512936E8
0,17,productionVolume,1203885.9
0,17,productDestruction,NA
0,17,sectorSize,24749.0
0,17,speed,NA
0,17,unsoldVolume,624573.25
0,17,unsoldVolumePositif,15524.0
0,18,consumptionBudget,3.0347592E7
0,18,consumptionValue,6458623.5
0,18,consumptionVolume,66945.01
0,18,laborUsed,23246.783
0,18,maxPrice,204.0177
0,18,minPrice,0.010725688
0,18,price,NA
0,18,productionValue,7418914.0
0,18,productionVolume,73688.0
0,18,productDestruction,NA
0,18,sectorSize,24980.0
0,18,speed,NA
0,18,unsoldVolume,6743.3765
0,18,unsoldVolumePositif,3362.0
0,19,consumptionBudget,1.2065642E7
0,19,consumptionValue,8243049.0
0,19,consumptionVolume,183844.77
0,19,laborUsed,6448.598
0,19,maxPrice,203.07838
0,19,minPrice,0.003813924
0,19,price,NA
0,19,productionValue,1.0348938E8
0,19,productionVolume,1030145.06
0,19,productDestruction,NA
0,19,sectorSize,25201.0
0,19,speed,NA
0,19,unsoldVolume,846297.75
0,19,unsoldVolumePositif,22051.0
1,0,consumptionBudget,6.6025892E7
1,0,consumptionValue,2.345276E7
1,0,consumptionVolume,262114.81
1,0,laborUsed,20717.217
1,0,maxPrice,212.3289
1,0,minPrice,0.005298165
1,0,price,NA
1,0,productionValue,3.3681988E7
1,0,productionVolume,334071.53
1,0,productDestruction,3372.5144
1,0,sectorSize,24783.0
1,0,speed,NA
1,0,unsoldVolume,141673.06
1,0,unsoldVolumePositif,8433.0
1,1,consumptionBudget,6.5335596E7
1,1,consumptionValue,1.7290364E7
1,1,consumptionVolume,182034.02
1,1,laborUsed,22128.863
1,1,maxPrice,212.32309
1,1,minPrice,0.010223676
1,1,price,NA
1,1,productionValue,2.0853608E7
1,1,productionVolume,206734.03
1,1,productDestruction,1429.8027
1,1,sectorSize,24290.0
1,1,speed,NA
1,1,unsoldVolume,51004.535
1,1,unsoldVolumePositif,5208.0
1,2,consumptionBudget,6.718991E7
1,2,consumptionValue,3.536863E7
1,2,consumptionVolume,500218.25
1,2,laborUsed,15115.895
1,2,maxPrice,212.28339
1,2,minPrice,0.0057356283
1,2,price,NA
1,2,productionValue,9.983556E7
1,2,productionVolume,992938.44
1,2,productDestruction,8841.773
1,2,sectorSize,25567.0
1,2,speed,NA
1,2,unsoldVolume,926412.94
1,2,unsoldVolumePositif,16143.0
1,3,consumptionBudget,5.791298E7
1,3,consumptionValue,2.6121776E7
1,3,consumptionVolume,322528.4
1,3,laborUsed,18063.953
1,3,maxPrice,212.30074
1,3,minPrice,0.0066105546
1,3,price,NA
1,3,productionValue,5.0126024E7
1,3,productionVolume,498151.72
1,3,productDestruction,6587.6
1,3,sectorSize,24991.0
1,3,speed,NA
1,3,unsoldVolume,338425.62
1,3,unsoldVolumePositif,12393.0
1,4,consumptionBudget,7.149855E7
1,4,consumptionValue,2.8487312E7
1,4,consumptionVolume,328216.06
1,4,laborUsed,19598.998
1,4,maxPrice,212.27504
1,4,minPrice,0.0019118761
1,4,price,NA
1,4,productionValue,4.6070296E7
1,4,productionVolume,453723.38
1,4,productDestruction,4807.506
1,4,sectorSize,24837.0
1,4,speed,NA
1,4,unsoldVolume,240710.33
1,4,unsoldVolumePositif,10158.0
1,5,consumptionBudget,3.4534556E7
1,5,consumptionValue,2.0870698E7
1,5,consumptionVolume,339094.28
1,5,laborUsed,11919.04
1,5,maxPrice,212.33289
1,5,minPrice,2.9164212E-4
1,5,price,NA
1,5,productionValue,9.132029E7
1,5,productionVolume,910379.94
1,5,productDestruction,14664.527
1,5,sectorSize,25715.0
