t,sector,dataType,value
0,0,consumptionBudget,6.243036E7
0,0,consumptionValue,3.2905976E7
0,0,consumptionVolume,332218.75
0,0,laborUsed,24940.176
0,0,maxPrice,204.02972
0,0,minPrice,0.005090421
0,0,price,NA
0,0,productionValue,3.3452864E7
0,0,productionVolume,335264.16
0,0,productDestruction,NA
0,0,sectorSize,25088.0
0,0,speed,NA
0,0,unsoldVolume,3042.0122
0,0,unsoldVolumePositif,518.0
0,1,consumptionBudget,6.034588E7
0,1,consumptionValue,2.0861118E7
0,1,consumptionVolume,210209.12
0,1,laborUsed,24888.486
0,1,maxPrice,204.03769
0,1,minPrice,0.009822801
0,1,price,NA
0,1,productionValue,2.0900948E7
0,1,productionVolume,210427.89
0,1,productDestruction,NA
0,1,sectorSize,24905.0
0,1,speed,NA
0,1,unsoldVolume,218.12128
0,1,unsoldVolumePositif,59.0
0,2,consumptionBudget,6.6446092E7
0,2,consumptionValue,5.9056864E7
0,2,consumptionVolume,731008.5
0,2,laborUsed,20280.895
0,2,maxPrice,203.95964
0,2,minPrice,0.005510731
0,2,price,NA
0,2,productionValue,9.467931E7
0,2,productionVolume,947067.94
0,2,productDestruction,NA
0,2,sectorSize,24814.0
0,2,speed,NA
0,2,unsoldVolume,216037.98
0,2,unsoldVolumePositif,7574.0
0,3,consumptionBudget,5.5843276E7
0,3,consumptionValue,4.2387868E7
0,3,consumptionVolume,454930.12
0,3,laborUsed,23659.166
0,3,maxPrice,203.97716
0,3,minPrice,0.0063513513
0,3,price,NA
0,3,productionValue,4.936047E7
0,3,productionVolume,494842.62
0,3,productDestruction,NA
0,3,sectorSize,25116.0
0,3,speed,NA
0,3,unsoldVolume,39900.5
0,3,unsoldVolumePositif,3285.0
0,4,consumptionBudget,6.864996E7
0,4,consumptionValue,4.3133424E7
0,4,consumptionVolume,437935.2
0,4,laborUsed,24502.605
0,4,maxPrice,204.03482
0,4,minPrice,0.0018369104
0,4,price,NA
0,4,productionValue,4.5223104E7
0,4,productionVolume,449685.25
0,4,productDestruction,NA
0,4,sectorSize,24937.0
0,4,speed,NA
0,4,unsoldVolume,11744.727
0,4,unsoldVolumePositif,1302.0
0,5,consumptionBudget,3.317864E7
0,5,consumptionValue,3.1623114E7
0,5,consumptionVolume,499417.4
0,5,laborUsed,15876.242
0,5,maxPrice,203.81624
0,5,minPrice,2.8020667E-4
0,5,price,NA
0,5,productionValue,8.706677E7
0,5,productionVolume,872085.56
0,5,productDestruction,NA
0,5,sectorSize,25078.0
0,5,speed,NA
0,5,unsoldVolume,372659.66
0,5,unsoldVolumePositif,12639.0
0,6,consumptionBudget,7.24096E7
0,6,consumptionValue,5.1369756E7
0,6,consumptionVolume,536130.2
0,6,laborUsed,24115.803
0,6,maxPrice,204.02777
0,6,minPrice,0.025094064
0,6,price,NA
0,6,productionValue,5.693747E7
0,6,productionVolume,567599.4
0,6,productDestruction,NA
0,6,sectorSize,25069.0
0,6,speed,NA
0,6,unsoldVolume,31459.422
0,6,unsoldVolumePositif,2383.0
0,7,consumptionBudget,7.093032E7
0,7,consumptionValue,6.419029E7
0,7,consumptionVolume,816860.1
0,7,laborUsed,19828.88
0,7,maxPrice,204.00517
0,7,minPrice,0.0038606252
0,7,price,NA
0,7,productionValue,1.1033108E8
0,7,productionVolume,1100946.2
0,7,productDestruction,NA
0,7,sectorSize,24973.0
0,7,speed,NA
0,7,unsoldVolume,284066.38
0,7,unsoldVolumePositif,8368.0
0,8,consumptionBudget,4.5096332E7
0,8,consumptionValue,3.744817E7
0,8,consumptionVolume,426650.97
0,8,laborUsed,22115.17
0,8,maxPrice,203.98688
0,8,minPrice,0.0060400106
0,8,price,NA
0,8,productionValue,5.0004332E7
0,8,productionVolume,500572.6
0,8,productDestruction,NA
0,8,sectorSize,24887.0
0,8,speed,NA
0,8,unsoldVolume,73911.234
0,8,unsoldVolumePositif,5298.0
0,9,consumptionBudget,7.6464984E7
0,9,consumptionValue,2.7659628E7
0,9,consumptionVolume,275389.06
0,9,laborUsed,25219.768
0,9,maxPrice,204.0304
0,9,minPrice,0.0049503176
0,9,price,NA
0,9,productionValue,2.7701406E7
0,9,productionVolume,275621.06
0,9,productDestruction,NA
0,9,sectorSize,25233.0
0,9,speed,NA
0,9,unsoldVolume,230.45404
0,9,unsoldVolumePositif,55.0
0,10,consumptionBudget,1.3396888E7
0,10,consumptionValue,1.3144496E7
0,10,consumptionVolume,298768.0
0,10,laborUsed,10399.726
0,10,maxPrice,201.1749
0,10,minPrice,5.1371224E-4
0,10,price,NA
0,10,productionValue,8.3874936E7
0,10,productionVolume,839478.7
0,10,productDestruction,NA
0,10,sectorSize,25041.0
0,10,speed,NA
0,10,unsoldVolume,540697.44
0,10,unsoldVolumePositif,17837.0
0,11,consumptionBudget,4.2567148E7
0,11,consumptionValue,4.0087536E7
0,11,consumptionVolume,582937.06
0,11,laborUsed,17073.63
0,11,maxPrice,203.94637
0,11,minPrice,4.2031E-4
0,11,price,NA
0,11,productionValue,9.319503E7
0,11,productionVolume,929545.6
0,11,productDestruction,NA
0,11,sectorSize,24820.0
0,11,speed,NA
0,11,unsoldVolume,346599.94
0,11,unsoldVolumePositif,11224.0
0,12,consumptionBudget,6.805031E7
0,12,consumptionValue,5.710995E7
0,12,consumptionVolume,656696.44
0,12,laborUsed,22323.295
0,12,maxPrice,204.00555
0,12,minPrice,9.3402225E-5
0,12,price,NA
0,12,productionValue,7.691788E7
0,12,productionVolume,773626.25
0,12,productDestruction,NA
0,12,sectorSize,25192.0
0,12,speed,NA
0,12,unsoldVolume,116908.62
0,12,unsoldVolumePositif,5451.0
0,13,consumptionBudget,6.282497E7
0,13,consumptionValue,4.418599E7
0,13,consumptionVolume,462839.8
0,13,laborUsed,24157.623
0,13,maxPrice,204.03941
0,13,minPrice,0.002537427
0,13,price,NA
0,13,productionValue,4.8699864E7
0,13,productionVolume,488448.3
0,13,productDestruction,NA
0,13,sectorSize,25070.0
0,13,speed,NA
0,13,unsoldVolume,25602.5
0,13,unsoldVolumePositif,2294.0
0,14,consumptionBudget,4.1902524E7
0,14,consumptionValue,1903304.4
0,14,consumptionVolume,18972.867
0,14,laborUsed,24845.975
0,14,maxPrice,204.02856
0,14,minPrice,0.0057753706
0,14,price,NA
0,14,productionValue,1903307.2
0,14,productionVolume,18972.973
0,14,productDestruction,NA
0,14,sectorSize,24846.0
0,14,speed,NA
0,14,unsoldVolume,0.0
0,14,unsoldVolumePositif,0.0
0,15,consumptionBudget,6.35001E7
0,15,consumptionValue,2156848.5
0,15,consumptionVolume,21489.367
0,15,laborUsed,24909.04
0,15,maxPrice,204.03348
0,15,minPrice,0.0097605325
0,15,price,NA
0,15,productionValue,2156840.0
0,15,productionVolume,21489.336
0,15,productDestruction,NA
0,15,sectorSize,24909.0
0,15,speed,NA
0,15,unsoldVolume,0.0
0,15,unsoldVolumePositif,0.0
0,16,consumptionBudget,5.5567904E7
0,16,consumptionValue,1.5114031E7
0,16,consumptionVolume,150909.42
0,16,laborUsed,25088.893
0,16,maxPrice,204.03918
0,16,minPrice,0.02358406
0,16,price,NA
0,16,productionValue,1.5120373E7
0,16,productionVolume,150944.5
0,16,productDestruction,NA
0,16,sectorSize,25092.0
0,16,speed,NA
0,16,unsoldVolume,34.535294
0,16,unsoldVolumePositif,13.0
0,17,consumptionBudget,6.951206E7
0,17,consumptionValue,6.3859268E7
0,17,consumptionVolume,853611.1
0,17,laborUsed,18874.004
0,17,maxPrice,204.02913
0,17,minPrice,0.014617448
0,17,price,NA
0,17,productionValue,1.19512936E8
0,17,productionVolume,1203885.9
0,17,productDestruction,NA
0,17,sectorSize,24749.0
0,17,speed,NA
0,17,unsoldVolume,350253.0
0,17,unsoldVolumePositif,9213.0
0,18,consumptionBudget,3.0347592E7
0,18,consumptionValue,7414506.0
0,18,consumptionVolume,73663.98
0,18,laborUsed,24975.28
0,18,maxPrice,204.0177
0,18,minPrice,0.010725688
0,18,price,NA
0,18,productionValue,7418914.0
0,18,productionVolume,73688.0
0,18,productDestruction,NA
0,18,sectorSize,24980.0
0,18,speed,NA
0,18,unsoldVolume,24.098457
0,18,unsoldVolumePositif,19.0
0,19,consumptionBudget,1.2065642E7
0,19,consumptionValue,1.1880856E7
0,19,consumptionVolume,305013.44
0,19,laborUsed,9015.383
0,19,maxPrice,198.61641
0,19,minPrice,0.003813924
0,19,price,NA
